animal_id,record_date,device_type,start_time,end_time,duration_sec,feed_g,daily_feed_g,weight_g,location,age_day,measurement_day
982091101529889,2023-05-17,NEDAP,2023-05-17T07:47:00Z,2023-05-17T08:05:20Z,1100,840,2947,66500,1908,,66
982091101529889,2023-05-17,NEDAP,2023-05-17T12:09:00Z,2023-05-17T12:19:38Z,638,444,2947,67500,1908,,66
982091101529889,2023-05-17,NEDAP,2023-05-17T13:25:00Z,2023-05-17T13:30:14Z,314,115,2947,67000,1908,,66
982091101529889,2023-05-17,NEDAP,2023-05-17T17:48:00Z,2023-05-17T17:57:31Z,571,325,2947,67000,1908,,66
982091101529889,2023-05-17,NEDAP,2023-05-17T18:57:00Z,2023-05-17T19:12:41Z,941,828,2947,68000,1908,,66
982091101529889,2023-05-17,NEDAP,2023-05-17T23:23:00Z,2023-05-17T23:30:31Z,451,395,2947,69500,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T08:26:00Z,2023-05-18T08:42:45Z,1005,624,2270,67500,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T09:54:00Z,2023-05-18T09:58:20Z,260,205,2270,67000,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T13:03:00Z,2023-05-18T13:03:21Z,21,1,2270,,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T13:27:00Z,2023-05-18T13:31:44Z,284,81,2270,68000,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T14:18:00Z,2023-05-18T14:26:45Z,525,302,2270,68500,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T15:29:00Z,2023-05-18T15:31:43Z,163,114,2270,69000,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T15:33:00Z,2023-05-18T15:34:37Z,97,76,2270,69000,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T16:14:00Z,2023-05-18T16:15:04Z,64,38,2270,68500,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T17:18:00Z,2023-05-18T17:21:37Z,217,86,2270,68500,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T21:14:00Z,2023-05-18T21:20:03Z,363,231,2270,68500,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T23:45:00Z,2023-05-18T23:50:29Z,329,224,2270,68500,1908,,66
982091101529889,2023-05-18,NEDAP,2023-05-18T23:53:00Z,2023-05-19T00:00:13Z,433,288,2270,68000,1908,,66
982091101529889,2023-05-19,NEDAP,2023-05-19T08:45:00Z,2023-05-19T09:07:01Z,1321,890,2729,67500,1908,,66
982091101529889,2023-05-19,NEDAP,2023-05-19T12:09:00Z,2023-05-19T12:15:11Z,371,161,2729,69000,1908,,66
982091101529889,2023-05-19,NEDAP,2023-05-19T13:00:00Z,2023-05-19T13:04:20Z,260,201,2729,69500,1908,,66
982091101529889,2023-05-19,NEDAP,2023-05-19T16:49:00Z,2023-05-19T16:56:33Z,453,235,2729,68500,1908,,66
982091101529889,2023-05-19,NEDAP,2023-05-19T19:41:00Z,2023-05-19T19:57:12Z,972,993,2729,69500,1908,,66
982091101529889,2023-05-19,NEDAP,2023-05-19T20:25:00Z,2023-05-19T20:27:23Z,143,31,2729,69500,1908,,66
982091101529889,2023-05-19,NEDAP,2023-05-19T22:26:00Z,2023-05-19T22:30:57Z,297,218,2729,70500,1908,,66
982091101529889,2023-05-20,NEDAP,2023-05-20T00:55:00Z,2023-05-20T00:58:10Z,190,77,2928,71000,1908,,66
982091101529889,2023-05-20,NEDAP,2023-05-20T10:02:00Z,2023-05-20T10:21:47Z,1187,958,2928,69500,1908,,66
982091101529889,2023-05-20,NEDAP,2023-05-20T12:45:00Z,2023-05-20T12:51:31Z,391,247,2928,70000,1908,,66
982091101529889,2023-05-20,NEDAP,2023-05-20T13:51:00Z,2023-05-20T13:57:22Z,382,315,2928,71000,1908,,66
982091101529889,2023-05-20,NEDAP,2023-05-20T14:38:00Z,2023-05-20T14:40:33Z,153,40,2928,72000,1908,,66
982091101529889,2023-05-20,NEDAP,2023-05-20T19:16:00Z,2023-05-20T19:20:42Z,282,88,2928,70500,1908,,66
982091101529889,2023-05-20,NEDAP,2023-05-20T19:49:00Z,2023-05-20T19:57:05Z,485,374,2928,70500,1908,,66
982091101529889,2023-05-20,NEDAP,2023-05-20T21:45:00Z,2023-05-20T21:59:58Z,898,829,2928,71000,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T01:04:00Z,2023-05-21T01:06:34Z,154,110,2388,72500,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T11:06:00Z,2023-05-21T11:16:40Z,640,408,2388,71500,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T12:03:00Z,2023-05-21T12:10:05Z,425,374,2388,70500,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T14:17:00Z,2023-05-21T14:23:12Z,372,333,2388,71500,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T15:49:00Z,2023-05-21T15:56:38Z,458,414,2388,71000,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T17:13:00Z,2023-05-21T17:14:00Z,60,31,2388,,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T17:16:00Z,2023-05-21T17:17:53Z,113,87,2388,73000,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T20:23:00Z,2023-05-21T20:28:57Z,357,267,2388,72500,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T20:45:00Z,2023-05-21T20:46:25Z,85,66,2388,73000,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T21:11:00Z,2023-05-21T21:13:30Z,150,130,2388,73000,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T21:42:00Z,2023-05-21T21:42:54Z,54,10,2388,,1908,,66
982091101529889,2023-05-21,NEDAP,2023-05-21T22:13:00Z,2023-05-21T22:17:22Z,262,158,2388,73000,1908,,66
982091101529889,2023-05-22,NEDAP,2023-05-22T12:54:00Z,2023-05-22T13:17:11Z,1391,1113,2380,70000,1908,,66
