animal_id,record_date,daily_feed_g,daily_weight_g,age_day,visits_n,visits_n_valid,total_duration_sec,location,n_outlier_wt,n_outlier_feed,has_feed_out_of_range_today,is_imputed_wt,is_imputed_feed,cum_feed,weight_kg,pred_cum_feed,pred_daily_feed
ID086,2025-09-22,1179,25504.6217275352,,17,17,3837,91,8,0,FALSE,FALSE,FALSE,,,,
ID086,2025-09-23,1037,26663.3476042212,,9,9,3248,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-09-24,1193,27637.5,,10,10,3793,91,2,0,FALSE,FALSE,FALSE,,,,
ID086,2025-09-25,1125,28149.5289710136,,17,17,2647,91,8,0,FALSE,FALSE,FALSE,,,,
ID086,2025-09-26,881,29160.3131854223,,18,18,2455,91,3,0,FALSE,FALSE,FALSE,,,,
ID086,2025-09-27,1273,29916.6666666667,,8,8,3677,91,2,0,FALSE,FALSE,FALSE,,,,
ID086,2025-09-28,1176,30894.6968185766,,9,9,3284,91,2,0,FALSE,FALSE,FALSE,,,,
ID086,2025-09-29,1229,31762.5,,10,10,3578,91,2,0,FALSE,FALSE,FALSE,,,,
ID086,2025-09-30,1624,32666.8627642828,,19,19,3918,91,2,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-01,1632,33530,,11,11,3416,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-02,1466,34916.6666666667,,13,13,3820,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-03,1635,35327.2727272727,,12,12,3427,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-04,1225,34691.5015633816,,9,9,2994,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-05,1550,36218.9074103639,,8,8,3218,91,2,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-06,1871,37431.25,,17,17,4069,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-07,1497.42405151149,38280,,11,10,2941,91,1,1,FALSE,FALSE,FALSE,,,,
ID086,2025-10-08,1718,38545.4545454545,,11,11,3553,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-09,1744,40606.25,,16,16,3609,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-10,1919,41015.3846153846,,13,13,3545,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-11,1604,41587.5,,8,8,3033,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-12,1434,42763.6363636364,,13,13,2812,91,2,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-13,1675,42908.3333333333,,13,13,2982,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-14,2110.42405151149,44062.5,,17,16,4003,91,1,1,FALSE,FALSE,FALSE,,,,
ID086,2025-10-15,2157,45283.74554388,,17,17,3445,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-16,1902,46166.6666666667,,12,12,3380,91,3,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-17,2066,47069.2307692308,,13,13,3812,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-18,761.42405151149,46500,,2,1,1000,91,1,1,FALSE,FALSE,FALSE,,,,
ID086,2025-10-19,1812,48341.6666666667,,12,12,4190,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-20,1639,49391.6666666667,,12,12,3792,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-21,2479,50486.3636363636,,23,23,4955,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-22,2274,51717.6470588235,,17,17,3993,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-23,2522.42405151149,52092,,27,26,4457,91,2,1,FALSE,FALSE,FALSE,,,,
ID086,2025-10-24,2400,52693.75,,17,17,4255,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-25,2903,54750,,19,19,5001,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-26,2850,55457.1428571429,,14,14,4369,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-27,3016,56970.1003594781,,25,25,4581,91,1,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-28,2008,58508.3333333333,,12,12,3066,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-29,3050,59261.5384615385,,13,13,4386,91,0,0,FALSE,FALSE,FALSE,,,,
ID086,2025-10-30,2127,60188.2352941177,,18,18,2907,91,1,0,FALSE,FALSE,FALSE,,,,
