device,pattern,arm,kind,span,degree,rate_realised,mean_span_pts,acc,bias,coverage,adfi_r,acc_affected,n_gap,n_loess,n_fallback,n_branch_loess,n_branch_fcr,n_branch_skip,n_fit_failed,n_na_days,runtime_s
FIRE,boundary,pure_s0.75_d1,pure,0.75,1,0.0999855720675227,66.5189573459716,0.943662809540086,0.0324509350121181,1,0.995631325864978,0.186628008327423,2382,180,2202,211,0,0,0,0,0.396809339523315
FIRE,boundary,pure_s0.75_d2,pure,0.75,2,0.0999855720675227,66.5189573459716,0.943681713253714,0.0324283622600058,1,0.995644430551235,0.186900931969475,2382,180,2202,211,0,0,0,0,0.417699098587036
FIRE,boundary,pure_s1.00_d1,pure,1,1,0.0999855720675227,88.6919431279621,0.943647420553267,0.0324805696001579,1,0.995639835998896,0.186405828791015,2382,180,2202,211,0,0,0,0,0.393714666366577
FIRE,boundary,pure_s1.00_d2,pure,1,2,0.0999855720675227,88.6919431279621,0.943674482508871,0.0324346319168978,1,0.99564002179657,0.186796537602517,2382,180,2202,211,0,0,0,0,0.402245283126831
FIRE,boundary,raw_zero_s0.30_d2,raw_zero,0.3,2,0.0999855720675227,29.2842857142857,0.9307362547067,-0.0692637452933,1,0.996708033538329,0,303,303,0,140,0,0,0,0,0.254158735275269
FIRE,random,prod,prod,0.3,2,0.0999855720675227,26.6390862944162,0.974679473790605,0.000256526328763143,1,0.997806744054552,0.745190248035025,2382,,,197,14,0,0,0,0.992530584335327
FIRE,random,pure_s0.10_d1,pure,0.1,1,0.0999855720675227,8.86919431279621,0.975526512375645,0.00013224012048385,1,0.998141244826197,0.753714308316148,2382,2330,52,211,0,0,0,0,0.483650207519531
FIRE,random,pure_s0.10_d2,pure,0.1,2,0.0999855720675227,8.86919431279621,0.97443375963444,0.000533355099962339,1,0.998014243556623,0.74271753626478,2382,2330,52,211,0,0,0,0,0.406881809234619
FIRE,random,pure_s0.20_d1,pure,0.2,1,0.0999855720675227,17.7383886255924,0.975604218148223,-0.000151099510386801,1,0.99804580529079,0.754496290036167,2382,2330,52,211,0,0,0,0,0.38699221611023
FIRE,random,pure_s0.20_d2,pure,0.2,2,0.0999855720675227,17.7383886255924,0.97556095059086,0.000146635396094698,1,0.998085610388278,0.754060872720248,2382,2330,52,211,0,0,0,0,0.372681856155396
FIRE,random,pure_s0.30_d1,pure,0.3,1,0.0999855720675227,26.6075829383886,0.975389006820906,-0.0004635130754135,1,0.997999439076466,0.752330539432083,2382,2330,52,211,0,0,0,0,0.427317142486572
FIRE,random,pure_s0.30_d2,pure,0.3,2,0.0999855720675227,26.6075829383886,0.975449412413966,0.000149524035635445,1,0.998009965802968,0.752938423093651,2382,2330,52,211,0,0,0,0,0.395546913146973
FIRE,random,pure_s0.50_d1,pure,0.5,1,0.0999855720675227,44.345971563981,0.974874471457258,-0.000939137451652542,1,0.997963054885512,0.74715258115017,2382,2330,52,211,0,0,0,0,0.420983552932739
FIRE,random,pure_s0.50_d2,pure,0.5,2,0.0999855720675227,44.345971563981,0.975341090185835,0.000272466644580788,1,0.99802715363587,0.751848336740223,2382,2330,52,211,0,0,0,0,0.399049520492554
FIRE,random,pure_s0.75_d1,pure,0.75,1,0.0999855720675227,66.5189573459716,0.974263436975898,-0.00121897056803774,1,0.99789850839578,0.741003516815965,2382,2330,52,211,0,0,0,0,0.382023572921753
FIRE,random,pure_s0.75_d2,pure,0.75,2,0.0999855720675227,66.5189573459716,0.975059176204626,-0.000438367199158581,1,0.997966408222668,0.749011332839381,2382,2330,52,211,0,0,0,0,0.393715858459473
FIRE,random,pure_s1.00_d1,pure,1,1,0.0999855720675227,88.6919431279621,0.973474998012129,-0.00127326857886335,1,0.997850874346876,0.73306916603921,2382,2330,52,211,0,0,0,0,0.370446920394897
FIRE,random,pure_s1.00_d2,pure,1,2,0.0999855720675227,88.6919431279621,0.974697793897777,-0.000536642649945063,1,0.997897935060953,0.74537460999993,2382,2330,52,211,0,0,0,0,0.64683723449707
FIRE,random,raw_zero_s0.30_d2,raw_zero,0.3,2,0.0999855720675227,29.2842857142857,0.900629681501063,-0.0993703184989373,1,0.981152399601691,0,303,303,0,140,0,0,0,0,0.248771667480469
