device,pattern,arm,kind,k,bs,family,span,degree,min_valid,rate_realised,acc,bias,coverage,adfi_r,acc_affected,n_interior,n_outward_days,acc_interior,acc_outward,n_na_days,n_gap,n_smooth,n_fallback,n_self_extrap,n_negative_pred,mean_edf,mean_span_pts,n_branch_gam,n_branch_fcr,n_branch_skip,n_fit_failed,runtime_s
FIRE,5d,pop_k6_cr,gam_pop,6,cr,gaussian,,,10,0.0997931996344924,0.974873949171998,-0.000892680869654971,1,0.996554214032968,0.755156368259751,2035,40,0.756540167599776,0.631769202651634,0,2378,2378,0,40,0,4.97136918426127,,211,0,0,0,1.15896821022034
FIRE,5d,pop_k6_cr_mv6,gam_pop,6,cr,gaussian,,,6,0.0997931996344924,0.974873949171998,-0.000892680869654971,1,0.996554214032968,0.755156368259751,2035,40,0.756540167599776,0.631769202651634,0,2378,2378,0,40,0,4.97136918426127,,211,0,0,0,1.43938732147217
FIRE,5d,router_k6_cr,gam_router,6,cr,gaussian,,,10,0.0997931996344924,0.965862063014342,-0.00435035950301794,1,0.991317065774073,0.667339028767186,2035,40,0.673750656444164,0.0956430153965214,0,2378,0,0,40,0,,,0,211,0,0,3.10942673683167
FIRE,boundary,gam_k15_cr_gamma,gam_pure,15,cr,Gamma,,,10,0.0999855720675227,0.966062850523604,0.0202010879365928,1,0.994725880753358,0.510030112684663,0,2079,,0.510030112684663,0,2382,2382,0,2202,0,3.39171691774098,,211,0,0,0,7.81991910934448
FIRE,boundary,gam_k15_cr_gauss,gam_pure,15,cr,gaussian,,,10,0.0999855720675227,0.967048175972529,0.0171190662829366,1,0.994192638816374,0.524255815391801,0,2079,,0.524255815391801,0,2382,2382,0,2202,15,3.96444802428401,,211,0,0,0,6.21517300605774
FIRE,boundary,gam_k15_ps_gauss,gam_pure,15,ps,gaussian,,,10,0.0999855720675227,0.967028043499219,0.0169261959587829,1,0.994173694410149,0.523965151448852,0,2079,,0.523965151448852,0,2382,2382,0,2202,15,3.66834340761476,,211,0,0,0,6.55769371986389
FIRE,boundary,gam_k15_tp_gauss,gam_pure,15,tp,gaussian,,,10,0.0999855720675227,0.967822406777105,0.0157791736795514,1,0.994915635141051,0.535433824916084,0,2079,,0.535433824916084,0,2382,2382,0,2202,15,3.72116385865427,,211,0,0,0,6.92418479919434
FIRE,boundary,gam_k3_cr_gauss,gam_pure,3,cr,gaussian,,,10,0.0999855720675227,0.965891244470406,0.0202932717468523,1,0.995408638835184,0.507552538703197,0,2079,,0.507552538703197,0,2382,2382,0,2202,22,1.69013376491627,,211,0,0,0,7.72579717636108
FIRE,boundary,gam_k3_ps_gauss,gam_pure,3,ps,gaussian,,,10,0.0999855720675227,0.94374023766615,0.0322492682556446,1,0.995629528554903,0.187745882126121,0,2079,,0.187745882126121,0,2382,0,2382,2202,0,,,0,0,0,211,0.920097351074219
FIRE,boundary,gam_k3_tp_gauss,gam_pure,3,tp,gaussian,,,10,0.0999855720675227,0.965871529832887,0.020336872859992,1,0.995429367788803,0.5072679072927,0,2079,,0.5072679072927,0,2382,2382,0,2202,22,1.6899958276619,,211,0,0,0,6.22670674324036
FIRE,boundary,gam_k6_cr_gamma,gam_pure,6,cr,Gamma,,,10,0.0999855720675227,0.966358851864907,0.0204663107951714,1,0.995078988701647,0.51430365203847,0,2079,,0.51430365203847,0,2382,2382,0,2202,0,2.83617331023568,,211,0,0,0,6.77343797683716
FIRE,boundary,gam_k6_cr_gauss,gam_pure,6,cr,gaussian,,,10,0.0999855720675227,0.96811069972382,0.0161583345157655,1,0.995436772647927,0.53959607380248,0,2079,,0.53959607380248,0,2382,2382,0,2202,10,2.98410168083368,,211,0,0,0,5.47089910507202
FIRE,boundary,gam_k6_ps_gauss,gam_pure,6,ps,gaussian,,,10,0.0999855720675227,0.966471551783384,0.0174580569103121,1,0.994379316917376,0.515930764722034,0,2079,,0.515930764722034,0,2382,2382,0,2202,4,2.43861333416035,,211,0,0,0,5.77450180053711
FIRE,boundary,gam_k6_tp_gauss,gam_pure,6,tp,gaussian,,,10,0.0999855720675227,0.967513801974332,0.0171992661524754,1,0.9952907953222,0.530978322236201,0,2079,,0.530978322236201,0,2382,2382,0,2202,10,2.91267281685206,,211,0,0,0,6.34688353538513
FIRE,boundary,loess_s0.30_d1,pure,,,,0.3,1,,0.0999855720675227,0.943707568589272,0.0323686093959507,1,0.995639020100645,0.187274220122589,0,2079,,0.187274220122589,0,2382,180,2202,0,,,26.6075829383886,0,0,0,0,0.43024468421936
FIRE,boundary,loess_s0.30_d2,pure,,,,0.3,2,,0.0999855720675227,0.943764785668614,0.0322620592410456,1,0.995674307973619,0.188100295569407,0,2079,,0.188100295569407,0,2382,180,2202,0,,,26.6075829383886,0,0,0,0,0.44681453704834
