animal_id,start_date,end_date,test_days,start_weight_g,end_weight_g,total_feed_g,AGE,ADG_g,ADFI_g,FCR,stage_label,stage_min,stage_max
ID119,2026-01-15,2026-04-05,81,34994.3095238095,112868.956521739,249573.081090122,162,1059.51900677455,3081.14914926077,3.20480529557659,30-115kg,30,115
ID120,2026-01-11,2026-04-24,104,32532.8215459133,110009.5625,272537.114683606,185,790.578989327415,2620.54917965006,3.51766364108054,30-115kg,30,115
ID121,2026-01-02,2026-04-05,94,35417.1782733042,111333.611111111,200838.71201355,176,877.646622402392,2136.58204269735,2.64552356461,30-115kg,30,115
ID123,2026-01-11,2026-04-05,85,40776.5659263272,112578.454545455,206739.702489165,168,914.673740371049,2432.23179399017,2.87930730604893,30-115kg,30,115
ID124,2025-12-30,2026-03-16,77,39066.6146043464,112304.8,167303.988048911,155,1046.25979136648,2172.77906557027,2.28438194017351,30-115kg,30,115
ID125,2026-01-09,2026-04-15,97,30975.9213396688,112976.495351495,231199.821956693,171,911.117489020287,2383.50331914116,2.81949028702348,30-115kg,30,115
ID126,2026-01-11,2026-04-21,101,35998.1666666667,112612,213683.353605998,179,815.040780141844,2115.67676837622,2.78909622856618,30-115kg,30,115
ID127,2026-01-17,2026-04-17,91,35494.4518859633,111102.96,256638.200936341,175,900.101287071866,2820.20001028946,3.39430319864619,30-115kg,30,115
ID128,2025-12-30,2026-03-27,88,39495.9288646041,111056.444444444,186431.069450972,154,872.689214388297,2118.53488012469,2.60522255800366,30-115kg,30,115
ID131,2026-01-09,2026-04-18,100,31826,113135.019230769,202173.099465342,176,874.29052936311,2021.73099465342,2.4864781469266,30-115kg,30,115
ID132,2026-01-17,2026-04-17,91,33348.8695652174,112103.652722393,255278.619740589,172,943.171055774559,2805.25955758889,3.24143638655082,30-115kg,30,115
ID133,2025-12-30,2026-04-02,94,30826.7426988333,110917.731119856,226137.832307311,158,915.325581954547,2405.72162029054,2.82351156809987,30-115kg,30,115
ID135,2026-01-17,2026-04-18,92,33574.5333333333,108911.835262928,187320.048311904,173,886.321199171698,2036.08748165113,2.48641832816049,30-115kg,30,115
ID137,2026-01-07,2026-03-26,79,32974.0359538715,114069.25,224017.97675527,151,1126.32241730734,2835.67059183886,2.76240687431744,30-115kg,30,115
ID139,2026-01-03,2026-04-07,95,33460.5534952097,113371.489783933,207369.254624898,162,929.196933589809,2182.83425920946,2.59500469216953,30-115kg,30,115
ID140,2026-01-04,2026-04-24,111,30669.4101274033,111725.213250989,243597.28902244,180,790.788323156928,2194.57017137333,3.0053035024652,30-115kg,30,115
ID144,2025-12-30,2026-04-20,112,31930.9393870834,113076,223121.285550662,192,765.519439744496,1992.15433527377,2.74965948469753,30-115kg,30,115
ID145,2026-01-04,2026-03-20,76,33118.6095020578,110304.555555556,158217.887422355,147,1094.83611423401,2081.81430818888,2.04982766309159,30-115kg,30,115
ID146,2025-12-30,2026-03-14,75,42435.445762115,111753.636271762,187679.712071175,162,1011.94438700215,2502.396160949,2.70751026088966,30-115kg,30,115
ID147,2025-12-30,2026-03-23,84,38703.8007961509,112176.613093466,228459.224479012,162,948.036287707298,2719.75267236919,3.10943895211915,30-115kg,30,115
ID149,2025-12-30,2026-04-08,100,30233.2997113346,114002.569267285,244260.166743007,166,891.162442084579,2442.60166743007,2.91586840899769,30-115kg,30,115
ID150,2026-01-02,2026-04-05,94,33272.7169547017,114421.08927458,183602.615687397,163,927.409969370036,1953.21931582337,2.26255450896359,30-115kg,30,115
ID152,2026-01-11,2026-04-13,93,33695.8745992595,114372.331575548,197739.46279834,185,938.098336933589,2126.23078277785,2.45101818063796,30-115kg,30,115
ID153,2026-01-09,2026-03-28,79,34919.0625444004,110894.920053232,204398.459818124,155,1055.22024317822,2587.32227617879,2.69030803363246,30-115kg,30,115
ID162,2025-12-31,2026-04-05,96,35759.266899618,107285.934088658,196718.531656371,163,794.740746544889,2049.15137142053,2.75028236862285,30-115kg,30,115
ID164,2026-01-02,2026-04-07,96,35541.9809426353,114001.607142857,188034.565052331,165,848.212175137533,1958.69338596178,2.39657737563627,30-115kg,30,115
ID165,2026-01-15,2026-04-16,92,33277.6153846154,112842.995123455,215054.317490669,166,936.063291045176,2337.5469292464,2.70286295618206,30-115kg,30,115
ID166,2026-02-07,2026-04-21,74,47231.3776344175,111414.65,215854.680048234,171,957.959289038544,2916.95513578695,3.36309870301944,30-115kg,30,115
